Student_ID,Age,Gender,Study_Hours_Per_Day,Sleep_Hours_Per_Night,Screen_Time_Hours,Social_Media_Hours,Attendance_Percentage,Assignments_Completed,Class_Participation_Score,Physical_Activity_Hours_Per_Week,Stress_Level,Motivation_Level,Internet_Quality,Part_Time_Job,Extracurricular_Involvement,AI_Tool_Usage_Hours_Per_Week,Previous_Semester_GPA,Productivity_Score,Performance_Category,Prediction
1,19.0,1,2.6,5.9,7.4,2.8,86.3,75.1,3.8,2.8,1.4,6.3,2,0,4.9,16.4,5.88,51.16,2,2
2,25.0,1,5.4,6.4,6.4,4.1,93.3,99.6,7.9,0.5,8.3,8.2,1,0,3.9,2.1,6.62,74.1,0,0
3,22.0,1,6.8,5.5,7.4,4.3,66.3,75.6,4.0,1.7,9.3,4.1,0,0,4.9,3.6,7.11,34.63,1,1
4,21.0,0,1.7,8.0,6.2,2.4,62.8,51.9,3.0,2.5,2.5,10.0,2,0,2.8,8.5,6.85,53.2,2,2
5,17.0,1,7.6,6.2,4.3,3.7,87.9,37.0,8.8,3.3,6.1,8.0,0,0,4.5,5.3,5.86,57.4,2,2
6,17.0,0,3.9,3.0,3.2,2.2,78.0,87.1,2.5,3.9,5.542839731870811,1.8,0,1,8.0,2.9,9.83,25.82,1,1
7,16.0,1,2.2,10.0,5.3,5.4,91.2,63.2,7.7,3.2008618067525094,2.6,6.4,0,1,5.9,4.1,6.83,66.65,0,0
8,23.0,0,5.7,6.3,4.1,2.4,94.1,65.6,5.2,9.0,1.0,3.3,2,0,6.4,3.0,7.62,66.45,0,0
9,21.0,0,3.3,6.3,5.7,2.6,55.9,94.4,7.5,8.5,5.0,5.8,2,0,5.6,2.2,7.84,65.59,0,0
10,22.0,0,4.0,9.2,4.8,2.2,69.1,72.6,6.6,6.9,5.7,1.0,1,0,7.9,0.4,5.11,47.47,2,2
11,16.0,0,3.4,5.4,7.0,1.7,78.4,69.6,1.4,0.5,8.3,3.0,1,1,4.5,2.3,9.14,30.44,1,1
12,25.0,0,2.6,8.5,6.1,6.7,66.7,77.9,5.3,2.4,10.0,5.9,0,1,4.1,10.1,5.64,41.28,1,1
13,23.0,0,5.6,6.2,7.1,3.9,73.9,100.0,5.5,5.1,7.0,4.9,1,0,4.0,4.6,4.3,46.92,2,2
14,18.0,1,3.6,5.3,7.1,3.1,63.4,79.6,6.9,0.9,1.7,8.3,2,0,2.2,5.2,4.51,43.24,1,1
15,18.0,0,1.3,9.2,5.6,2.1,74.3,36.1,6.7,2.5,6.5,5.1,2,0,3.6,6.0,4.86,38.72,1,1
16,18.0,1,5.3,8.2,5.7,5.0,67.4,60.3,5.5,2.1,5.2,7.0,0,0,7.5,5.2,5.21,57.69,2,2
17,19.0,1,1.8,8.2,7.3,2.0,84.5,69.9,3.5,3.3,7.6,8.7,1,0,2.4,7.3,6.67,50.93,2,2
18,20.0,1,1.9,7.5,12.1,3.2,91.7,90.5,7.1,2.1,1.3,3.0,0,0,3.9,2.6,8.0,58.22,2,2
19,20.0,1,6.6,7.8,3.5,7.0,85.3,52.6,7.9,2.3,7.5,3.6,2,0,6.4,6.6,6.02,49.07,2,2
20,19.0,1,1.8,5.4,6.1,1.3,100.0,77.7,6.7,3.0,9.0,4.6,0,0,3.8,10.2,6.44,46.8,2,2
21,21.0,1,0.0,7.1,3.0,4.0,92.2,73.5,5.5,0.9,6.0,5.8,1,0,3.7,4.3,6.489753023681269,50.89,2,2
22,17.0,1,5.4,5.8,5.9,3.5,91.7,93.3,5.2,2.1,8.1,7.5,0,0,5.1,5.5447261663286005,5.84,60.43,2,2
23,19.0,0,3.6,5.2,4.3,4.0,78.9,57.1,4.0,1.3,7.2,2.8,0,0,6.0,8.3,7.11,29.06,1,1
24,19.0,1,3.8,7.5,5.7,2.5,76.0,78.0,6.5,4.7,1.0,3.3,1,1,0.4,0.6,7.67,66.59,0,0
25,20.0,0,3.6,8.5,6.4,1.9,96.6,100.0,6.4,1.5,5.9,5.957923664122137,0,0,6.4,10.1,8.43,70.84,0,0
26,22.0,1,4.7,6.5,4.8,3.4,76.7,91.2,7.8,1.4,6.2,2.8,0,0,4.5,9.1,5.36,51.48,2,2
27,18.0,0,2.7,6.7,1.5,2.2,80.5,85.8,4.6,3.8,3.2,4.5,1,1,0.2,4.8,8.23,68.39,0,0
28,20.0,0,7.2,5.5,9.6,0.0,77.8,69.4,6.3,1.9,6.2,5.957923664122137,0,1,5.3,2.4,6.48,35.75,1,1
29,21.0,0,1.2,7.0,8.1,1.5,87.0,77.7,3.1,2.1,1.9,5.2,1,0,6.6,0.3,3.85,52.83,2,2
30,16.0,0,5.1,8.0,5.7,2.4,91.6,73.0,5.3,1.0,5.6,9.4,2,0,3.9,9.9,5.47,68.86,0,0
31,21.0,1,5.5,8.0,3.8,1.1,93.8,90.4,4.8,2.3,6.5,4.5,0,0,5.1,0.7,5.05,65.74,0,0
32,18.0,1,2.7,7.7,6.2,3.3,76.1,84.5,8.3,2.2,10.0,3.8,2,0,4.9,1.9,6.33,51.25,2,2
33,16.0,0,2.2,6.2,6.9,1.6,82.4,63.7,9.8,2.1,3.5,4.7,2,0,7.1,1.6,6.83,47.08,2,2
34,24.0,0,6.2,6.2,7.9,2.9,84.3,100.0,3.4,3.4,7.1,4.4,0,0,5.8,4.0,7.76,49.79,2,2
